id,artist,album,tracklist
7141353,Oniris,Madness,"[<Track 'A1' 'Madness'>, <Track 'A2' 'Daylight'>, <Track 'B1' 'Way Out'>, <Track 'B2' 'Madness (Gregor Tresher Remix)'>]"
8561573,Madben,Into The Woods,"[<Track 'A1' 'Into The Woods'>, <Track 'A2' 'Light Sentence'>, <Track 'B1' 'Tension (SLAM Remix)'>, <Track 'B2' 'Tension'>]"
10011574,Vince Watson,Elektrik,"[<Track 'A1' 'Elektrik'>, <Track 'B1' 'Elektrik (Madben Remix)'>]"
10383752,W.LV.S,Misericordia ,"[<Track 'A1' 'Misericordia'>, <Track 'B1' 'Blacksmith'>, <Track 'B2' 'Black Diva'>]"
11672545,W.LV.S,Misericordia Remixes,"[<Track 'A1' 'Misericordia (Maxime Dangles Remix)'>, <Track 'A2' 'Misericordia (Lunatic Asylum Broken Remix)'>, <Track 'B1' 'Blacksmith (The Hacker Remix)'>, <Track 'B2' 'Misericordia (Torgull Remix)'>]"
11778791,Madben,Fréquence(s),"[<Track 'A1' 'Space Bubbles'>, <Track 'A2' 'Mouvement Circulaire'>, <Track 'B1' ""MG's Groove"">, <Track 'C1' 'Narcotica'>, <Track 'C2' ""Don't Lose The Beat"">, <Track 'D1' 'Tom & Tom'>, <Track 'D2' 'Stripes'>, <Track 'E1' 'Reminiscence'>, <Track 'E2' 'Grief, Dance To Death'>, <Track 'F1' 'The Struggle'>, <Track 'F2' 'Lunar Park'>]"
13040940,Oniris,Odysseus ,"[<Track 'A1' 'Odysseus'>, <Track 'A2' 'Raver'>, <Track 'B1' ""Odysseus (Marc Romboy's Moog Etrangé)"">, <Track 'B2' 'Borderline'>]"
14827472,Blutch,La Cité Des Étoiles,"[<Track 'A1' 'Beau Rivage'>, <Track 'A2' 'Compétition'>, <Track 'A3' '2014'>, <Track 'B1' 'La Cité Des Étoiles'>, <Track 'B2' 'La Cité Des Étoiles (Michael Mayer Remix)'>]"
15922638,Kmyle,Keroual,"[<Track 'A1' 'Keroual'>, <Track 'A2' 'Telegraph'>, <Track 'B1' 'Synchopa'>, <Track 'B2' ""Keroual (Zadig 'day Is Dying' Remix)"">]"
22049779,Blutch,Terre Promise,"[<Track 'A1' 'Terre Promise'>, <Track 'A2' 'Poplar'>, <Track 'A3' 'Cobalan'>, <Track 'A4' 'Choices'>, <Track 'A5' 'Rosko'>, <Track 'A6' 'Remparts'>, <Track 'B1' 'Eusa'>, <Track 'B2' 'Les Bois'>, <Track 'B3' 'Les Sables Blancs'>, <Track 'B4' 'Floatin'>, <Track 'B5' 'River'>, <Track 'B6' 'Phoenix'>]"
23064170,W.LV.S,Guilty,"[<Track 'A1' 'Guilty'>, <Track 'A2' 'The Pit Feat. Louisahhh'>, <Track 'B1' 'Orca'>, <Track 'B2' 'Guilty (Tommy Four Seven Remix)'>]"
4490025,Madben,We Want To Rave On,"[<Track 'A' 'We Want To Rave On'>, <Track 'B1' 'Promise Land (Scan X Remix)'>, <Track 'B2' '\t Promise Land'>]"
